fecha,tienda,region,categoria,cantidad,ingreso,costo
2023-01-01,Tienda-09,Capital,Hogar,3,129.88,84.65
2023-01-01,Tienda-03,Andes,Bebidas,3,24.63,18.03
2023-01-01,Tienda-10,Capital,Cuidado Personal,2,36.63,24.82
2023-01-01,Tienda-10,Capital,Alimentos,9,142.97,89.2
2023-01-01,Tienda-03,Andes,Alimentos,7,98.52,64.59
2023-01-01,Tienda-06,Oriente,Hogar,9,380.37,285.72
2023-01-01,Tienda-01,Oriente,Limpieza,11,132.85,103.99
2023-01-01,Tienda-01,Oriente,Electronica,1,142.13,90.46
2023-01-01,Tienda-01,Oriente,Limpieza,3,39.2,29.25
2023-01-01,Tienda-03,Andes,Alimentos,1,14.09,11.39
2023-01-02,Tienda-06,Oriente,Limpieza,4,47.59,35.44
2023-01-02,Tienda-06,Oriente,Bebidas,2,15.03,10.72
2023-01-02,Tienda-03,Andes,Electronica,2,305.12,206.53
2023-01-02,Tienda-06,Oriente,Alimentos,1,13.97,8.56
2023-01-02,Tienda-03,Andes,Alimentos,5,77.75,52.27
2023-01-02,Tienda-09,Capital,Bebidas,3,26.07,20.92
2023-01-02,Tienda-09,Capital,Alimentos,2,27.91,20.36
2023-01-02,Tienda-10,Capital,Limpieza,7,85.52,71.68
2023-01-02,Tienda-06,Oriente,Electronica,1,160.09,126.21
2023-01-03,Tienda-08,Andes,Alimentos,4,59.78,44.25
2023-01-03,Tienda-10,Capital,Electronica,1,150.5,105.36
2023-01-03,Tienda-10,Capital,Bebidas,2,15.48,9.69
2023-01-03,Tienda-09,Capital,Alimentos,5,80.55,58.55
2023-01-03,Tienda-06,Oriente,Alimentos,5,82.13,49.99
2023-01-03,Tienda-09,Capital,Alimentos,9,129.21,107.06
2023-01-04,Tienda-06,Oriente,Alimentos,4,59.04,37.43
2023-01-04,Tienda-09,Capital,Alimentos,4,64.89,42.41
2023-01-04,Tienda-07,Capital,Bebidas,2,17.43,11.73
2023-01-04,Tienda-03,Andes,Alimentos,8,131.48,85.88
2023-01-04,Tienda-07,Capital,Hogar,7,322.38,243.72
2023-01-05,Tienda-01,Oriente,Bebidas,3,21.78,18.28
2023-01-05,Tienda-03,Andes,Alimentos,9,130.39,106.83
2023-01-05,Tienda-08,Andes,Hogar,1,46.0,28.34
2023-01-05,Tienda-06,Oriente,Limpieza,9,99.29,73.47
2023-01-05,Tienda-01,Oriente,Alimentos,8,128.71,84.39
2023-01-05,Tienda-05,Central,Hogar,3,137.95,113.27
2023-01-05,Tienda-09,Capital,Bebidas,2,16.92,10.89
2023-01-05,Tienda-07,Capital,Bebidas,3,21.66,13.97
2023-01-05,Tienda-01,Oriente,Alimentos,5,81.43,66.87
2023-01-05,Tienda-05,Central,Alimentos,9,123.39,92.55
2023-01-06,Tienda-09,Capital,Bebidas,8,66.59,43.33
2023-01-06,Tienda-09,Capital,Hogar,3,145.78,88.46
2023-01-06,Tienda-01,Oriente,Alimentos,7,110.06,93.05
2023-01-06,Tienda-04,Capital,Electronica,1,164.7,109.63
2023-01-06,Tienda-01,Oriente,Hogar,9,430.46,278.75
2023-01-06,Tienda-03,Andes,Alimentos,8,117.89,76.15
2023-01-06,Tienda-07,Capital,Electronica,1,150.79,114.24
2023-01-06,Tienda-05,Central,Cuidado Personal,3,57.57,45.46
2023-01-07,Tienda-10,Capital,Alimentos,5,69.6,45.64
