estudiante_id,carrera,semestre,genero,edad,promedio,materias_inscritas,materias_aprobadas,materias_reprobadas,asistencia_pct,beca,trabaja
EST-0001,Contaduria,1,M,19,6.0,5,0,5,69.6,False,True
EST-0002,Administracion,6,F,23,10.1,4,1,3,77.4,False,True
EST-0003,Contaduria,4,M,21,19.8,4,4,0,100.0,False,False
EST-0004,Contaduria,5,F,25,16.3,4,3,1,61.6,False,False
EST-0005,Economia,8,F,20,12.4,7,4,3,79.9,False,False
EST-0006,Administracion,6,F,17,14.4,6,4,2,97.0,False,False
EST-0007,Relaciones Industriales,4,M,22,11.3,5,1,4,78.7,False,True
EST-0008,Contaduria,3,F,17,14.2,6,4,2,94.2,False,False
EST-0009,Economia,4,M,24,15.1,7,3,4,100.0,False,False
EST-0010,Administracion,7,F,21,12.1,6,3,3,88.9,False,False
EST-0011,Administracion,4,M,22,13.8,7,5,2,65.7,False,False
EST-0012,Relaciones Industriales,5,M,27,12.4,5,2,3,88.9,False,False
EST-0013,Economia,2,M,21,17.1,5,4,1,98.6,False,False
EST-0014,Contaduria,5,F,26,15.6,6,5,1,86.0,False,False
EST-0015,Relaciones Industriales,1,F,22,7.5,5,3,2,95.6,False,False
EST-0016,Economia,9,M,26,14.8,6,5,1,79.1,False,False
EST-0017,Administracion,10,F,26,13.4,4,2,2,75.9,False,True
EST-0018,Relaciones Industriales,8,F,22,14.1,7,5,2,79.8,False,True
EST-0019,Administracion,2,M,24,8.3,7,3,4,88.7,True,True
EST-0020,Economia,5,F,20,17.2,6,6,0,94.7,True,True
EST-0021,Administracion,9,F,22,16.4,4,4,0,100.0,True,False
EST-0022,Contaduria,4,F,23,11.7,7,4,3,71.3,False,True
EST-0023,Economia,9,F,24,14.4,5,2,3,81.6,False,False
EST-0024,Administracion,9,F,21,17.6,6,6,0,76.4,False,False
EST-0025,Relaciones Industriales,6,F,20,14.9,7,7,0,80.2,False,False
EST-0026,Administracion,4,F,20,14.1,4,2,2,87.1,False,False
EST-0027,Contaduria,3,M,22,13.5,4,2,2,76.1,True,True
EST-0028,Economia,5,M,22,14.6,7,3,4,71.3,False,True
EST-0029,Administracion,4,F,20,10.6,6,6,0,69.7,False,True
EST-0030,Economia,10,F,23,14.4,7,6,1,74.1,False,False
EST-0031,Relaciones Industriales,10,F,25,12.2,5,4,1,89.4,False,False
EST-0032,Administracion,5,F,21,11.0,7,1,6,99.6,True,False
EST-0033,Economia,8,M,21,15.8,5,3,2,71.4,True,True
EST-0034,Administracion,5,M,24,12.5,5,3,2,63.4,False,False
EST-0035,Contaduria,9,F,26,16.6,4,2,2,100.0,False,False
EST-0036,Administracion,8,F,25,16.9,6,5,1,81.7,False,False
EST-0037,Administracion,3,M,17,11.4,7,6,1,95.1,False,True
EST-0038,Economia,8,F,27,9.7,4,1,3,66.5,False,False
EST-0039,Relaciones Industriales,9,M,21,12.3,6,3,3,78.3,False,True
EST-0040,Relaciones Industriales,7,M,21,12.4,6,4,2,88.7,False,False
EST-0041,Administracion,4,M,19,10.9,7,5,2,100.0,False,False
EST-0042,Contaduria,8,F,23,18.8,4,3,1,93.2,False,False
EST-0043,Administracion,7,M,28,14.6,5,3,2,84.5,False,False
EST-0044,Economia,5,F,21,13.2,5,5,0,70.9,False,True
EST-0045,Contaduria,10,M,23,15.1,6,4,2,64.7,False,False
EST-0046,Economia,2,F,17,13.6,6,5,1,83.1,False,False
EST-0047,Contaduria,10,F,26,10.4,6,2,4,85.3,True,False
EST-0048,Contaduria,8,F,25,15.2,4,2,2,77.2,False,True
EST-0049,Contaduria,6,M,23,13.7,4,4,0,94.2,False,False
EST-0050,Economia,6,M,26,10.1,7,2,5,99.0,False,False
EST-0051,Administracion,2,F,20,13.8,6,4,2,91.9,False,False
EST-0052,Administracion,4,F,17,12.6,7,4,3,65.6,True,True
EST-0053,Contaduria,10,M,20,12.2,6,5,1,80.0,False,False
EST-0054,Relaciones Industriales,10,F,24,10.1,4,4,0,83.3,False,True
EST-0055,Relaciones Industriales,10,F,25,14.4,6,3,3,71.0,False,False
EST-0056,Contaduria,9,M,26,17.4,6,6,0,93.4,False,False
EST-0057,Relaciones Industriales,1,F,20,9.8,5,1,4,80.7,False,False
EST-0058,Economia,8,F,25,12.5,6,1,5,96.9,False,True
EST-0059,Economia,9,F,25,11.8,4,4,0,70.7,False,False
EST-0060,Contaduria,7,F,25,7.8,4,1,3,80.8,False,True
EST-0061,Contaduria,4,F,21,17.5,4,3,1,66.1,False,True
EST-0062,Administracion,6,M,26,9.1,7,1,6,91.8,False,True
EST-0063,Contaduria,6,F,21,10.3,4,1,3,72.1,False,True
EST-0064,Contaduria,9,F,27,12.3,5,4,1,90.5,False,True
EST-0065,Relaciones Industriales,1,F,20,8.6,5,2,3,79.8,False,False
EST-0066,Contaduria,8,F,23,14.1,4,3,1,80.1,False,True
EST-0067,Relaciones Industriales,8,F,20,16.9,6,4,2,72.0,False,True
EST-0068,Contaduria,3,M,23,13.7,5,3,2,56.8,False,True
EST-0069,Relaciones Industriales,2,F,22,15.1,6,4,2,58.4,False,True
EST-0070,Administracion,2,F,24,13.2,4,3,1,74.1,False,True
EST-0071,Economia,2,F,20,11.0,6,3,3,57.6,False,True
EST-0072,Relaciones Industriales,2,M,20,15.6,5,3,2,82.4,False,False
EST-0073,Contaduria,6,F,23,12.0,7,3,4,78.2,False,False
EST-0074,Administracion,6,M,24,11.8,5,2,3,90.0,False,False
EST-0075,Economia,9,F,28,17.5,4,3,1,96.1,True,False
EST-0076,Economia,7,M,25,12.3,6,6,0,63.8,False,True
EST-0077,Administracion,7,F,24,11.9,6,3,3,100.0,False,False
EST-0078,Relaciones Industriales,3,M,19,8.5,6,1,5,76.4,False,True
EST-0079,Relaciones Industriales,5,F,24,19.2,7,6,1,92.1,False,False
EST-0080,Administracion,9,F,24,12.4,6,4,2,61.6,False,True
EST-0081,Economia,2,M,19,14.6,5,3,2,100.0,False,False
EST-0082,Economia,6,F,19,12.5,5,2,3,86.7,True,False
EST-0083,Economia,9,F,22,10.3,4,4,0,85.2,False,False
EST-0084,Administracion,6,M,23,11.1,7,5,2,91.0,False,False
EST-0085,Contaduria,1,F,25,11.2,5,4,1,81.5,False,True
EST-0086,Contaduria,6,F,23,17.6,7,6,1,100.0,True,False
EST-0087,Contaduria,9,F,24,15.7,5,5,0,57.3,True,True
EST-0088,Contaduria,7,F,20,15.6,7,5,2,67.6,True,False
EST-0089,Administracion,10,M,25,16.3,4,4,0,100.0,False,False
EST-0090,Economia,2,M,19,14.1,5,3,2,84.6,False,False
EST-0091,Relaciones Industriales,9,M,24,15.6,5,2,3,87.5,False,True
EST-0092,Economia,3,F,18,15.1,6,6,0,88.7,False,False
EST-0093,Administracion,4,M,19,8.9,4,1,3,79.0,False,False
EST-0094,Administracion,2,M,24,13.8,6,5,1,61.9,False,True
EST-0095,Economia,1,F,17,14.0,4,3,1,56.5,False,True
EST-0096,Administracion,5,M,19,14.9,7,4,3,94.6,False,False
EST-0097,Economia,9,M,24,11.5,5,2,3,97.5,False,False
EST-0098,Contaduria,5,M,23,13.5,6,2,4,71.3,False,False
EST-0099,Administracion,3,M,21,15.3,5,4,1,83.9,False,False
EST-0100,Economia,10,M,22,11.5,6,3,3,63.5,False,True
EST-0101,Contaduria,7,F,26,16.7,5,5,0,100.0,True,False
EST-0102,Administracion,9,M,24,14.8,4,4,0,100.0,True,False
EST-0103,Administracion,6,F,26,15.6,5,5,0,84.4,False,False
EST-0104,Administracion,2,F,20,10.8,7,3,4,76.9,False,True
EST-0105,Administracion,8,M,23,17.3,5,3,2,95.0,False,True
EST-0106,Economia,7,M,24,13.8,6,4,2,77.5,True,False
EST-0107,Administracion,10,F,27,8.7,7,3,4,81.1,False,True
EST-0108,Administracion,6,M,21,16.1,7,6,1,66.9,True,False
EST-0109,Administracion,8,F,21,14.4,4,1,3,100.0,False,False
EST-0110,Relaciones Industriales,6,M,24,9.6,6,3,3,64.0,False,True
EST-0111,Relaciones Industriales,3,M,22,13.1,4,1,3,65.9,False,True
EST-0112,Contaduria,4,M,20,18.0,4,4,0,100.0,False,False
EST-0113,Administracion,8,M,26,8.5,6,4,2,77.0,True,True
EST-0114,Economia,3,F,19,19.0,7,7,0,77.4,False,False
EST-0115,Administracion,7,M,22,12.6,6,5,1,68.5,False,True
EST-0116,Administracion,10,M,24,13.5,6,5,1,80.3,False,True
EST-0117,Economia,1,F,20,12.4,4,4,0,80.3,True,False
EST-0118,Administracion,7,F,25,17.1,6,6,0,100.0,False,False
EST-0119,Contaduria,9,F,25,19.1,4,2,2,60.3,True,True
EST-0120,Economia,2,M,25,12.8,5,3,2,100.0,False,False
EST-0121,Administracion,1,M,21,18.2,5,5,0,78.1,False,True
EST-0122,Economia,9,M,25,15.0,4,3,1,100.0,False,False
EST-0123,Administracion,9,F,27,14.0,5,4,1,76.9,False,False
EST-0124,Administracion,4,F,24,14.2,4,4,0,99.9,False,False
EST-0125,Economia,1,M,23,12.7,4,3,1,100.0,True,False
EST-0126,Administracion,10,F,29,13.9,4,3,1,70.0,False,True
EST-0127,Economia,9,F,23,13.4,6,5,1,71.4,False,False
EST-0128,Contaduria,10,M,25,13.4,5,2,3,67.5,False,True
EST-0129,Administracion,7,F,20,14.0,4,3,1,88.8,False,False
EST-0130,Administracion,6,M,24,14.4,7,7,0,90.7,False,False
EST-0131,Administracion,8,M,25,10.8,6,4,2,79.1,False,True
EST-0132,Contaduria,10,F,27,17.5,5,4,1,76.2,False,False
EST-0133,Contaduria,10,F,23,13.2,5,2,3,100.0,False,True
EST-0134,Administracion,4,F,24,10.9,6,3,3,75.2,True,False
EST-0135,Contaduria,3,F,25,11.2,4,2,2,77.7,True,True
EST-0136,Relaciones Industriales,8,M,26,15.6,4,4,0,75.5,False,False
EST-0137,Relaciones Industriales,6,M,24,12.1,6,5,1,68.8,False,True
